sample_id	original_column	file_project	platform	source_file	missing_fraction
TARGET-20-PASCGR-10A	TARGET-20-PASCGR-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PASJGZ-04A	TARGET-20-PASJGZ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PADZCG-09A	TARGET-20-PADZCG-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PARNAW-15A	TARGET-21-PARNAW-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARNZW-14A	TARGET-20-PARNZW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARFIW-14A	TARGET-20-PARFIW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANLLX-14A	TARGET-20-PANLLX-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PABLDZ-09A	TARGET-20-PABLDZ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARDMG-10A	TARGET-20-PARDMG-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANTWV-04A	TARGET-20-PANTWV-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PARZIA-14A	TARGET-21-PARZIA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PAKERZ-14A	TARGET-20-PAKERZ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PASIEP-09A	TARGET-20-PASIEP-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PATKKJ-15A	TARGET-21-PATKKJ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PASCFW-14A	TARGET-20-PASCFW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARIMT-14A	TARGET-20-PARIMT-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANLIR-09A	TARGET-20-PANLIR-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARBTC-14A	TARGET-20-PARBTC-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PARLSL-09A	TARGET-21-PARLSL-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANLIR-14A	TARGET-20-PANLIR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PASYEJ-14A	TARGET-21-PASYEJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PASIGA-14A	TARGET-21-PASIGA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PASTZK-14A	TARGET-21-PASTZK-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PASCFW-09A	TARGET-20-PASCFW-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PAKSMZ-03A	TARGET-20-PAKSMZ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PATKKJ-14A	TARGET-21-PATKKJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARSHM-14A	TARGET-20-PARSHM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PAMYMA-14A	TARGET-21-PAMYMA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANLXM-14A	TARGET-20-PANLXM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANDER-09A	TARGET-20-PANDER-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PASJGZ-03A	TARGET-20-PASJGZ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PATKJB-09A	TARGET-20-PATKJB-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PANYNR-04A	TARGET-20-PANYNR-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PARUDL-03A	TARGET-20-PARUDL-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-21-PASDKZ-15A	TARGET-21-PASDKZ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PATIAK-09A	TARGET-20-PATIAK-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
TARGET-20-PAECCE-04A	TARGET-20-PAECCE-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0
